,Title,Director,Cast,Genre,year
322,Bolti Bulbul a.k.a. The Talking Nightingale a.k.a. Shahi Fakir,Dhirubhai Desai,"Zebunissa, Anil Kumar, Mumtaz Begum",Fantasy,1926
323,Briefless Barrister,Homi Master,"Gohar, Moti, Putli, Siddimiya",Social,1926
324,Bulbule Paristan a.k.a. The Nightingale From The Land Of Fairies,Fatma Begum,"Fatma Begum, Madanrai Vakil, Madame Tosca, Zubeida, Sultana, Putli, K. B. Athavale, Miss Fiske",Fantasy,1926
325,Burkhawali a.k.a. Veiled Enemy,Kanjibhai Rathod,"Ermeline, Nandram, Haider Shah",,1926
326,Chatra Bakavli,S. N. Patankar,,Fantasy,1926
327,Cinema Queen a.k.a. Love's Sacrifice a.k.a. Cinema Queen,M. D. Bhavnani,"Sulochana, Putli, Khalil",Social,1926
328,Delhi No Thug a.k.a. Thief Of Delhi,Homi Master,"Gohar, Khalil",Costume,1926
329,Dha Cha Maa a.k.a. Murder Of Narayanrao Peshwa,N. D. Sarpotdar,"Dinshaw Bilimoria, Bandopant Sohoni, Durgabai Koregaonkar, Sundarrao Nadkarni, P. N. Varne, Wamanrao Kulkarni, Jayarampant, Datoba Rajwade",Historical,1926
330,Dharma Patni a.k.a. The Wife,Jyotish Bannerjee,"Patience Cooper, Durgads Bannerji, Kartik Dey",Social,1926
331,Dhanurbhanga a.k.a. The Marriage of Janaki a.k.a. Janaki Swayamwara,Dadasaheb Phalke,,Mythology,1926
332,Dil Aram,Nanubhai Desai,"A. P. Kapoor, Dwarkee, Miss Mary, Prabhashankar, Janibabu",Historical,1926
333,Dulari,Manilal Joshi,"Elizer, Baburao Sansare, Putli, Madanrai Vakil, M. Udvadia, Jilloobai, Yusuf",Historical,1926
334,Dagabaaz Duniya a.k.a. Way Of The World,Harihar Diwana,"Yakbal, Amirbanu, Jones",Social,1926
335,Fearless Phantom a.k.a. Andher Nagri a.k.a. Delhi No Dodh Chhel,,"Gangaram, Dwarki, Bapu",Costume,1926
336,For Country's Sake,Harihar Diwana,"Tara, Miss Mary",Costume,1926
337,Gaj Gouri,,B. Yadav,Mythology,1926
