director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
K. P. Ghose,Motilal, Sabita Devi, Aruna Devi,Social,lagna bandhan,Motilal  Sabita Devi  Aruna Devi K. P. Ghose Social
Jayant Desai,Madhuri, E. Billimoria, Ghory,Action,laheri lala,Madhuri  E. Billimoria  Ghory Jayant Desai Action
K. B. Desai,Shiraz, Manjri, Razaq Ali,Costume,lal punja,Shiraz  Manjri  Razaq Ali K. B. Desai Costume
R. J. Ashar,Rafique Ghaznavi, Zubeida, Dulari,Costume,laylo nehar,Rafique Ghaznavi  Zubeida  Dulari R. J. Ashar Costume
J. J. Madan,Phool Kumari, Rajmani, Surajram,Social,maa ki mamta,Phool Kumari  Rajmani  Surajram J. J. Madan Social
Jaddanbai,Ansari, Ashiq Hussain, Jaddanbai,Drama Music,madam fashion,Ansari  Ashiq Hussain  Jaddanbai Jaddanbai Drama Music
Gunjal,Ghulam Mohammed, Pramila, Kumar,Social,mahamaya,Ghulam Mohammed  Pramila  Kumar Gunjal Social
Franz Osten,Devika Rani, Najmul Hussain, Sunita Devi,Social,mamta and miya biwi,Devika Rani  Najmul Hussain  Sunita Devi Franz Osten Social
Mehboob Khan,Surendra, Bibbo, Yakub,Social,manmohan,Surendra  Bibbo  Yakub Mehboob Khan Social
M. Udwadia,Aruna Devi, M. Mohammed, Zohra Sehgal,Action,mard ka bachcha,Aruna Devi  M. Mohammed  Zohra Sehgal M. Udwadia Action
A. M. Khan,Yashwant Dave, Ansuya, Master Nissar,Action,mastana mashooq,Yashwant Dave  Ansuya  Master Nissar A. M. Khan Action
K. Amarnath,Rajkumari, Ermeline, S. Nazir,Devotional,matwali jogan,Rajkumari  Ermeline  S. Nazir K. Amarnath Devotional
Homi Wadia,Fearless Nadia, Sardar Mansur, John Cawas,Action Adventure,miss frontier mail,Fearless Nadia  Sardar Mansur  John Cawas Homi Wadia Action Adventure
Fram Sethna,Patience Cooper, Dalsukh, Shivlal,Action,mohabbat ka toofan,Patience Cooper  Dalsukh  Shivlal Fram Sethna Action
Nanubhai Vakil,Zubeida, Jal Merchant, Ghulam Hussain,Action,mr. & mrs. bombay,Zubeida  Jal Merchant  Ghulam Hussain Nanubhai Vakil Action
Nanubhai Vakil,Jahanara Kajjan, Jal Merchant, Abdur Rehman,Costume,nari raj a.k.a. miss calcutta,Jahanara Kajjan  Jal Merchant  Abdur Rehman Nanubhai Vakil Costume
Pesi Karani,Mohammed Ishaq, Akhtari, Angurbla,Social,nasib ka chakkar,Mohammed Ishaq  Akhtari  Angurbla Pesi Karani Social
A. P. Kapoor,Rajkumari, Sitara Devi, Marutirao,Action,nazar ka shikar,Rajkumari  Sitara Devi  Marutirao A. P. Kapoor Action
G. R. Sethi,Mazhar Khan, Lalita Devi, Patience Cooper,Costume,noor-e-wahadat,Mazhar Khan  Lalita Devi  Patience Cooper G. R. Sethi Costume
Harshadrai Mehta,Fearless Nadia, John Cawas, Sharifa,Action,pahadi kanya,Fearless Nadia  John Cawas  Sharifa Harshadrai Mehta Action
Hiren Bose,Sardar Akhtar, Nirmal, Pramod Chandra,Social,piya ki jogan,Sardar Akhtar  Nirmal  Pramod Chandra Hiren Bose Social
Chandulal Shah,Gohar Mamajiwala, E. Billimoria, Ishwarlal,Social,prabhu ka pyara,Gohar Mamajiwala  E. Billimoria  Ishwarlal Chandulal Shah Social
M. L. Kapoor,Mukhtar Begum, A. R. Akhtar, Safdar,Romantic Drama,prem ki aag,Mukhtar Begum  A. R. Akhtar  Safdar M. L. Kapoor Romantic Drama
Sorabji Kerawala,Ghulam Sabir, Rani Premlata, Zahur Ahmed,Devotional,prem ki devi,Ghulam Sabir  Rani Premlata  Zahur Ahmed Sorabji Kerawala Devotional
Fram Sethna,Bimla Kumari, Mubarak, Mustafa,Social,prem laksha,Bimla Kumari  Mubarak  Mustafa Fram Sethna Social
Dwarka Khosla,Nazir, Yasmin, Shanta Kumari,Costume,prem ratri,Nazir  Yasmin  Shanta Kumari Dwarka Khosla Costume
Kanjibhai Rathod,Ashiq Hussain, Ansuya, Gulab,Action,punjab ka sinha,Ashiq Hussain  Ansuya  Gulab Kanjibhai Rathod Action
H. S. Thakur,Usharani, Prakash, Sushila,Action,raiders of the railroad,Usharani  Prakash  Sushila H. S. Thakur Action
Charu Roy,Bashir, Bina Devi, P. Verma,Costume,raj natee,Bashir  Bina Devi  P. Verma Charu Roy Costume
Jayant Desai,Madhuri, E. Billimoria, Gohar Mamajiwala,Costume,raj ramani,Madhuri  E. Billimoria  Gohar Mamajiwala Jayant Desai Costume
K. Dhaiber,Nalini Tarkhud, Kelkar, Shanta Apte,Costume Action Drama,rajput ramani,Nalini Tarkhud  Kelkar  Shanta Apte K. Dhaiber Costume Action Drama
Jayant Desai,Madhuri, E. Billimoria, Gohar Mamajiwala,Costume,rangila raja,Madhuri  E. Billimoria  Gohar Mamajiwala Jayant Desai Costume
Mohan Sinha,Prem Adib, Radharani, Nurjahan,Costume,romantic india,Prem Adib  Radharani  Nurjahan Mohan Sinha Costume
Sohrab Modi,Sohrab Modi, Gulzar, Sadat Ali,Drama,said-e-havas a.k.a. prey to desire or greed or king john,Sohrab Modi  Gulzar  Sadat Ali Sohrab Modi Drama
Hendry Dargwitch,Sultana, Gulzar, Shantaram,unknown,sagar ki kanya,Sultana  Gulzar  Shantaram Hendry Dargwitch unknown
Ram Daryani,Nazir, Sardar Akhtar, Padma Devi,unknown,sangdil samaj,Nazir  Sardar Akhtar  Padma Devi Ram Daryani unknown
Premankur Atorthy,Rattanbai, Kumar, Pramila,Social,sarala,Rattanbai  Kumar  Pramila Premankur Atorthy Social
M. Udwadia,Navinchandra, Zohra Sehgal, Brijmala,Action,shahu chor,Navinchandra  Zohra Sehgal  Brijmala M. Udwadia Action
"Homi Bode, Chandra Singh",Sharif, Mumtaz, Kitchlu,Social,shahid-e-mohabbat,"Sharif  Mumtaz  Kitchlu Homi Bode, Chandra Singh Social"
R. S. Choudhary,Sulochana (Ruby Myers), D. Billimoria, Ghulam Mohammed,Social,shan-e-hind,Sulochana (Ruby Myers)  D. Billimoria  Ghulam Mohammed R. S. Choudhary Social
Ezra Mir,Mazhar Khan, Jehanara Kajjan, Khalil,Social,shaitan ka pash a.k.a. kamala c.i.d.,Mazhar Khan  Jehanara Kajjan  Khalil Ezra Mir Social
Dwarka Khosla,Nazir, Sardar Akhtar, Firoze Dastur,Action,sher ka panja,Nazir  Sardar Akhtar  Firoze Dastur Dwarka Khosla Action
unknown,unknown,unknown,unknown,unknown,sher-e-kabul,unknown unknown unknown unknown unknown
J. P. Advani,Yasmin, Khurshid, Nazir,unknown,shokhe dilruba,Yasmin  Khurshid  Nazir J. P. Advani unknown
Mohammed Hussain,Abbas, Mustafa, Ghulam Hussain,Action,sipah silar,Abbas  Mustafa  Ghulam Hussain Mohammed Hussain Action
Chandulal Shah,E. Billimoria, Gohar Mamajiwala, Charlie,Romantic Drama,sipahi ki sajni,E. Billimoria  Gohar Mamajiwala  Charlie Chandulal Shah Romantic Drama
Kerewala? A. H. Essa?,Patience Cooper, Narmada Shankar, Mehazabin,Religious,sita haran,Patience Cooper  Narmada Shankar  Mehazabin Kerewala? A. H. Essa? Religious
Balwant Bhatt,Rajkumari, Gulab, Jayant,unknown,snehlata,Rajkumari  Gulab  Jayant Balwant Bhatt unknown
Ezra Mir,Jahanara Kajjan, Ishwarlal, Ghulam Hussain,Social,struggle a.k.a. jeevan sangram,Jahanara Kajjan  Ishwarlal  Ghulam Hussain Ezra Mir Social
A. R. Kabuli,Sharifa, Shakuntala, Sadiq Ali,Historical Legend,sultana chand bibi,Sharifa  Shakuntala  Sadiq Ali A. R. Kabuli Historical Legend
Aspi Irani,Kamlesh Kumar, Lalita Devi, Laxmi,Action Comedy Family Fantasy Romance,sundari,Kamlesh Kumar  Lalita Devi  Laxmi Aspi Irani Action Comedy Family Fantasy Romance
Balwant Bhatt,Jayant, Gulab, Shirin,Action,tope ka gola,Jayant  Gulab  Shirin Balwant Bhatt Action
A. H. Essa,Sitara Devi, Kashinath, Sushila Devi,Costume,zan mureed,Sitara Devi  Kashinath  Sushila Devi A. H. Essa Costume
unknown,Bashir, Leela Desai, Noorjahan,Social,adarsh mahila,Bashir  Leela Desai  Noorjahan unknown Social
Hemchandar Chunder,Uma Sashi, Najmul Hussain, Prithviraj Kapoor,Social Family Drama,anath ashram,Uma Sashi  Najmul Hussain  Prithviraj Kapoor Hemchandar Chunder Social Family Drama
Haribhai Desai,Master Vithal, Jenabai Pawar, Vasantrao Pehalwan,Action,asiai sitara,Master Vithal  Jenabai Pawar  Vasantrao Pehalwan Haribhai Desai Action
F. R. Irani,Sohrab Modi, Prabha Devi, E. Tarapore,Social,atma tarang,Sohrab Modi  Prabha Devi  E. Tarapore F. R. Irani Social
F. R. Irani,Jal Merchant, Zubeida, Rashid,Social,aurat ki zindagi,Jal Merchant  Zubeida  Rashid F. R. Irani Social
Mohan Sinha,Radharani, Sarla, Jeevan,Social,badhe chalo,Radharani  Sarla  Jeevan Mohan Sinha Social
R. N. Vaidya,Bulbule, Manchi Tuthi, Shahjahan,Costume Action,banke sipahi,Bulbule  Manchi Tuthi  Shahjahan R. N. Vaidya Costume Action
M. D. Shah,Ghulam Hussain, Miss Pokhraj, Nurjahan,Action,bharat ka jiwan,Ghulam Hussain  Miss Pokhraj  Nurjahan M. D. Shah Action
B. S. Hijle,Sardar Akhtar, Ramola, Rafi Ahmed,Action,bismil ki arzoo,Sardar Akhtar  Ramola  Rafi Ahmed B. S. Hijle Action
Dwarka Khosla,Yusuf Effendi, Indubala, Gope,Action Thriller Mystery,bulldog,Yusuf Effendi  Indubala  Gope Dwarka Khosla Action Thriller Mystery
A. R. Kabuli,Ramola, Brijrani, Shiraz,Suspense Drama,calcutta after midnight,Ramola  Brijrani  Shiraz A. R. Kabuli Suspense Drama
C. M. Luhar,Motilal, Bibbo, Yakub,Action,capt. kirti kumar,Motilal  Bibbo  Yakub C. M. Luhar Action
Balwant Bhatt,Lalita Pawar, Jayant, Rajkumari,Adventure Comedy Family,challenge,Lalita Pawar  Jayant  Rajkumari Balwant Bhatt Adventure Comedy Family
G. P. Pawar,Lalita Pawar, Madhav Kale, Bhagwan,Action,chevrolet 1936,Lalita Pawar  Madhav Kale  Bhagwan G. P. Pawar Action
K. Amarnath,Kumar, Nazir, Lalita,Crime Drama Romance,danger signal,Kumar  Nazir  Lalita K. Amarnath Crime Drama Romance
Master Vinayak,Indira Wadkar, Master Vinayak, Ratnaprabha,Social,dharamaveer,Indira Wadkar  Master Vinayak  Ratnaprabha Master Vinayak Social
D. N. Madhok,Ishwarlal, Khatoon, Charlie,Action,dil faroshi,Ishwarlal  Khatoon  Charlie D. N. Madhok Action
Moti Gidwani,Padma Devi, Rose, Rafique Ghaznavi,Social,do auratein a.k.a. two women,Padma Devi  Rose  Rafique Ghaznavi Moti Gidwani Social
"Nanubhai Vakil, Safdar Mirza",Khatoon, Gulam Sabir, Patience Cooper,Costume,fakhr-e-islam,"Khatoon  Gulam Sabir  Patience Cooper Nanubhai Vakil, Safdar Mirza Costume"
Dada Phalke,Shanta Hublikar, Barchi Bahadur, Chitnis,Devotional,gangavataran,Shanta Hublikar  Barchi Bahadur  Chitnis Dada Phalke Devotional
Ram Daryani,Leela Chitnis, Yusuf Effendi, Gope,Action,gentleman daku,Leela Chitnis  Yusuf Effendi  Gope Ram Daryani Action
K. Rathod,Mehar Sultana, Ashiq Hussain, Bulbule,Legend,gulbadan,Mehar Sultana  Ashiq Hussain  Bulbule K. Rathod Legend
Kikubhai Desai,unknown,unknown,unknown,Costume Action,guru ghantal,unknown unknown unknown Kikubhai Desai Costume Action
Balwant Bhatt,Sardar Akhtar, Jayant, Shirin,Documentary,his highness,Sardar Akhtar  Jayant  Shirin Balwant Bhatt Documentary
R. N. Vaidya,Fearless Nadia, John Cawas, Sardar Mansur,Action,hurricane hansa,Fearless Nadia  John Cawas  Sardar Mansur R. N. Vaidya Action
B. S. Rajhans,Khursheed, Zebunissa, Prabhashankar,Action,iman farosh,Khursheed  Zebunissa  Prabhashankar B. S. Rajhans Action
Homi Master,Dinshaw Billimoria, Sulochana, Ruby Myers,Costume,jagat kesari,Dinshaw Billimoria  Sulochana  Ruby Myers Homi Master Costume
Mehboob Khan,Motilal, Surendra, Bibbo,Social,jagirdar,Motilal  Surendra  Bibbo Mehboob Khan Social
Chunilal Parekh,K. G. Rao, Rama Sashi, Sultan Alam,Social,jawahir-e-hind,K. G. Rao  Rama Sashi  Sultan Alam Chunilal Parekh Social
Franz Osten,Devika Rani, Renuka Devi, Maya Devi,Social Family Drama,jeevan prabhat,Devika Rani  Renuka Devi  Maya Devi Franz Osten Social Family Drama
R. S. Choudhry,Rose, Surendra, Zebunissa,Costume,kal ki baat,Rose  Surendra  Zebunissa R. S. Choudhry Costume
A. M. Khan,Navinchandra, Rajkumari, Gohar Karnataki,Costume Suspense,kala bhoot,Navinchandra  Rajkumari  Gohar Karnataki A. M. Khan Costume Suspense
Sohrab Modi,Sohrab Modi, Naseem Banu, Prem Adib,Social,khan bahadur,Sohrab Modi  Naseem Banu  Prem Adib Sohrab Modi Social
Vithaldas Panchotia,Mazhar Khan, Rampyari, Khalil,Action,khudai khidmatgar,Mazhar Khan  Rampyari  Khalil Vithaldas Panchotia Action
Vijay Bhatt,Sardar Akhtar, Jayant, Shirin Banu,Fantasy,khwab ki duniya,Sardar Akhtar  Jayant  Shirin Banu Vijay Bhatt Fantasy
M. Gidwani,Padma Devi, Ghulam Mohammed, Sayed Ahmed,Social,kisan kanya,Padma Devi  Ghulam Mohammed  Sayed Ahmed M. Gidwani Social
Akhtar Nawaz,Jal Merchant, Zubeida, Premlata,Social,kiski pyari a.k.a. whose love?,Jal Merchant  Zubeida  Premlata Akhtar Nawaz Social
Sarvottam Badami,Motilal, Shobhana Samarth, Sitara Devi,Social,kokila,Motilal  Shobhana Samarth  Sitara Devi Sarvottam Badami Social
A. M. Khan,Shiraz, Gohar Karnataki, F. M. Khan,Social Family Drama,kuldeepak,Shiraz  Gohar Karnataki  F. M. Khan A. M. Khan Social Family Drama
Sarvottam Badami,Motilal, Sabita Devi, Gulzar,Social,kulvadhu,Motilal  Sabita Devi  Gulzar Sarvottam Badami Social
Nagendra Majumdar,Navinchandra, Vatsala Kumtekar, Uma Devi,Action,lahiri lutera,Navinchandra  Vatsala Kumtekar  Uma Devi Nagendra Majumdar Action
Hiren Bose,Surendra, Maya Bannerjee, Sitara Devi,Social Romantic Musical,mahageet,Surendra  Maya Bannerjee  Sitara Devi Hiren Bose Social Romantic Musical
Shaily Ghosh,Navin Yagnik, Indurani, Paresh Bannerjee,Social,meri bhool,Navin Yagnik  Indurani  Paresh Bannerjee Shaily Ghosh Social
Jayant Desai,Madhuri, E. Billimoria, Charlie,unknown,mitti ka putla,Madhuri  E. Billimoria  Charlie Jayant Desai unknown
Jyotish Mukherjee,Ram Dulari, Mohammed Hussain, Chandra,Drama Action,modern lady,Ram Dulari  Mohammed Hussain  Chandra Jyotish Mukherjee Drama Action
D. T. Shivdasani,Navin Yagnik, Hansa Wadkar, Benjamin,Action,modern youth,Navin Yagnik  Hansa Wadkar  Benjamin D. T. Shivdasani Action
Jaddanbai,Mehtab, Ashiq Hussain, Anita Devi,Social,moti ka haar,Mehtab  Ashiq Hussain  Anita Devi Jaddanbai Social
Sorabji Kerawala,Indubala, Akbar, Manjar,Comedy,mr. 420,Indubala  Akbar  Manjar Sorabji Kerawala Comedy
Homi Master,D. Billimoria, Jilloobai, Sulochana,Social,new searchlight,D. Billimoria  Jilloobai  Sulochana Homi Master Social
A. R. Kabuli,Zebunissa, Abdul Rehman Kabuli, Shiraz Moti,Action,nishan-e-jung,Zebunissa  Abdul Rehman Kabuli  Shiraz Moti A. R. Kabuli Action
Chandulal Shah,E. Billimoria, Gohar Mamajiwala, Shanta,Action,pardesi pankhi,E. Billimoria  Gohar Mamajiwala  Shanta Chandulal Shah Action
Baburao Painter,Durga Khote, Keshavrao Date, Raja Paranjpe,Costume Drama,pratibha,Durga Khote  Keshavrao Date  Raja Paranjpe Baburao Painter Costume Drama
Prafulla Roy,Khursheed, Wasti, Mayuri,Social,prem yatra,Khursheed  Wasti  Mayuri Prafulla Roy Social
Master Vinayak,Vinayak, Ashalata, D. S. Salvi,Romantic Comedy,premveer,Vinayak  Ashalata  D. S. Salvi Master Vinayak Romantic Comedy
Nitin Bose,K. L. Saigal, Leela Desai, Kamlesh Kumari,Thriller Action Crime,president,K. L. Saigal  Leela Desai  Kamlesh Kumari Nitin Bose Thriller Action Crime
"Homi Master, Narayan Devare",Fatma Begum, Laxmi, Urmila,Action,punjab lancers,"Fatma Begum  Laxmi  Urmila Homi Master, Narayan Devare Action"
Sultan Mirza,Surendra, Bibbo, Dattu,Costume,qazzak ki ladki,Surendra  Bibbo  Dattu Sultan Mirza Costume
Yakub,Yakub, Bibbo, Ram Marathe,unknown,sagar ka sher,Yakub  Bibbo  Ram Marathe Yakub unknown
Prafulla Roy,Ahindra Choudhury, Indubala, R. P. Kapoor,Social,samaj patan,Ahindra Choudhury  Indubala  R. P. Kapoor Prafulla Roy Social
Mamam Warerkar,Hansa Wadkar, Baburao Pendharkar, Master Chhotu,Social,shadi ka mamla,Hansa Wadkar  Baburao Pendharkar  Master Chhotu Mamam Warerkar Social
D. N. Madhok,Ishwarlal, Khatoon, Ghory,Action,sharafi loot,Ishwarlal  Khatoon  Ghory D. N. Madhok Action
Kikubhai Desai,Sardar Mansur, Navinchandra, Ali,Action,sinhaldweep ki sundari,Sardar Mansur  Navinchandra  Ali Kikubhai Desai Action
Mohan Singh,Radharani, Snehlata, O. K. Dhar,Action,swaraj ke sipahi,Radharani  Snehlata  O. K. Dhar Mohan Singh Action
Kikubhai Desai,Gohar Karnataki, Ibrahim, Bachcha,Action,taranhar,Gohar Karnataki  Ibrahim  Bachcha Kikubhai Desai Action
G. K. Mehta,P. Jairaj, Urmila Devi, Shah Nawaz,Action,toofani khazana,P. Jairaj  Urmila Devi  Shah Nawaz G. K. Mehta Action
Jayant Desai,E. Billimoria, Madhuri, Ishwarlal,Action,toofani toli a.k.a. reckless rogues,E. Billimoria  Madhuri  Ishwarlal Jayant Desai Action
I. S. Hafisji,Ratanbai, W. M. Khan, Rafique Ghaznavi,Social,usne kya socha,Ratanbai  W. M. Khan  Rafique Ghaznavi I. S. Hafisji Social
Debaki Bose,Leela Desai Prithviraj Kapoor, Pahari Sanyal, Kanan Devi,Romance Drama,vidyapati,Leela Desai Prithviraj Kapoor  Pahari Sanyal  Kanan Devi Debaki Bose Romance Drama
K. N. Kale,Leela Chitnis, Chandra Mohan, Shanta Apte,Science Fiction Drama Action Adventure,wahan,Leela Chitnis  Chandra Mohan  Shanta Apte K. N. Kale Science Fiction Drama Action Adventure
Gunjal,Sulochana (Ruby Myers), D. Billimoria, Ghulam Mohammed,Action,wah ri duniya,Sulochana (Ruby Myers)  D. Billimoria  Ghulam Mohammed Gunjal Action
M. Bhavnani,Navin Yagnik, Sarla, Indira Wadkar,Action,zambo the ape man,Navin Yagnik  Sarla  Indira Wadkar M. Bhavnani Action
Jayant Desai,Madhuri, E. Billimoria, Ishwarlal,Social,zamin ka chand,Madhuri  E. Billimoria  Ishwarlal Jayant Desai Social
Prafulla Roy,Vijay Kumar, Molina, Prithviraj Kapoor,Social,abhagin,Vijay Kumar  Molina  Prithviraj Kapoor Prafulla Roy Social
Nanubhai Vakil,Navinchandra, Bansi Karnataki, Moti,Fantasy Action,alauddin aur jadui chirag a.k.a. alladin and the wonderful lamp,Navinchandra  Bansi Karnataki  Moti Nanubhai Vakil Fantasy Action
"Bhagwan, Chandrarao Kadam",Hansa Wadkar, Bhagwan, Indira Wadkar,Social,bahadur kisan,"Hansa Wadkar  Bhagwan  Indira Wadkar Bhagwan, Chandrarao Kadam Social"
Jayant Desai,E. Billimoria, Madhuri, Ishwarlal,Action,ban ki chidiya,E. Billimoria  Madhuri  Ishwarlal Jayant Desai Action
Manibhai Vyas,Trilok Kapoor, Khatoon, Ila Devi,Action,bazigar,Trilok Kapoor  Khatoon  Ila Devi Manibhai Vyas Action
A. H. Essa,Ganpat Bhalerao, Bansi Karnataki, Ghulam Qadir,Action Suspense,bhedi burkha,Ganpat Bhalerao  Bansi Karnataki  Ghulam Qadir A. H. Essa Action Suspense
A. M. Khan,Shiraz, Zohra, Ata Mohammed,Action,bhedi trishul,Shiraz  Zohra  Ata Mohammed A. M. Khan Action
Jayant Desai,E. Billimoria, Sunita, Ila Devi,Action,billi a.k.a. the cat,E. Billimoria  Sunita  Ila Devi Jayant Desai Action
A. M. Khan,Shiraz, Romila, Hirabai,Action,chabukwali,Shiraz  Romila  Hirabai A. M. Khan Action
A. M. Khan,Benjamin, Ramola, Khatoon,Action,cyclewali,Benjamin  Ramola  Khatoon A. M. Khan Action
Baburao Apte,Benjamin, Mehtab, Rajkumari,Costume,devbala,Benjamin  Mehtab  Rajkumari Baburao Apte Costume
Nitin Bose,K. L. Saigal, Uma Shashi, Kamlesh Kumari,Social,dharti mata,K. L. Saigal  Uma Shashi  Kamlesh Kumari Nitin Bose Social
K. P. Bhave,Indira Wadkar, Raja Paranjpe, Kumar Prabhakar,Mythology Devotional,dhruv kumar,Indira Wadkar  Raja Paranjpe  Kumar Prabhakar K. P. Bhave Mythology Devotional
G. P. Pawar,Lalita Pawar, Madhav Kale, Indira Wadkar,Social,duniya kya hai,Lalita Pawar  Madhav Kale  Indira Wadkar G. P. Pawar Social
C. M. Luhar,Surendra, Bibbo, Yakub,Action Comedy,dynamite,Surendra  Bibbo  Yakub C. M. Luhar Action Comedy
Chaturbhuj Doshi,Trilok Kapoor, Rajkumari, Mazhar Khan,Devotional,gorakh aya,Trilok Kapoor  Rajkumari  Mazhar Khan Chaturbhuj Doshi Devotional
"Chimanlal Desai, Ramchandra Thakur",Surendra, Bibbo, Prabha Devi,unknown,gramophone singer,"Surendra  Bibbo  Prabha Devi Chimanlal Desai, Ramchandra Thakur unknown"
M. D. Bhavnani,Enakshi Rama Rao, Maya Chatterji, S. L. Puri,Costume,himalay ki beti,Enakshi Rama Rao  Maya Chatterji  S. L. Puri M. D. Bhavnani Costume
R. N. Vaidya,Protima Das Gupta, Baburao Pahelwan, Nazir Begum,Action Adventure,impossible,Protima Das Gupta  Baburao Pahelwan  Nazir Begum R. N. Vaidya Action Adventure
Mohan Sinha,Shobhana Samarth, Prem Adib, Wasti,Social,industrial india,Shobhana Samarth  Prem Adib  Wasti Mohan Sinha Social
P. Razdan,unknown,unknown,unknown,Social,jeevan ek paheli,unknown unknown unknown P. Razdan Social
Chunilal Parekh,Shankar Vazre, Rajkumari, Putlibai,Action,jungle ka javan,Shankar Vazre  Rajkumari  Putlibai Chunilal Parekh Action
Vithaldas Panchotia,Radharani, V. Panchotia, Prabha Devi,Action,karmaveer,Radharani  V. Panchotia  Prabha Devi Vithaldas Panchotia Action
unknown,unknown,unknown,unknown,Action,khatarnak aurat,unknown unknown unknown unknown Action
J. K. Mehta,Mohini, Ghulam Mohammed, Padma Devi,Social,kis liye,Mohini  Ghulam Mohammed  Padma Devi J. K. Mehta Social
Kanti Patel,Padmini, Kashinath, Shahzadi Jahangir,Action,lal bujakkad,Padmini  Kashinath  Shahzadi Jahangir Kanti Patel Action
Homi Wadia,Fearless Nadia, Sardar Mansur, Sayani Atish,Action Adventure,lutaru lalna,Fearless Nadia  Sardar Mansur  Sayani Atish Homi Wadia Action Adventure
Kikubhai Desai,Moti, Shankar Vazre, Ganpat Rao,Action,madhraat ka mehmaan,Moti  Shankar Vazre  Ganpat Rao Kikubhai Desai Action
Zia Sarhadi,P. Jairaj, Khursheed, Zebunisa,Social Romance Drama,madhur milan,P. Jairaj  Khursheed  Zebunisa Zia Sarhadi Social Romance Drama
G. K. Mehta,Leela Chitnis, Majid Khan, Indira Wadkar,Action,master man a.k.a. ustad,Leela Chitnis  Majid Khan  Indira Wadkar G. K. Mehta Action
Sohrab Modi,Naseem Banu, Sohrab Modi, Shanta Dutt,Social Drama,meetha zahar,Naseem Banu  Sohrab Modi  Shanta Dutt Sohrab Modi Social Drama
Keshav Narayan Kale,Shahu Modak, Shanta Hublikar, Ulhas,Social,mera ladka,Shahu Modak  Shanta Hublikar  Ulhas Keshav Narayan Kale Social
Dwarka Khosla,Rattan Bai, Jayant, Ranjit,Action Science Fiction Thriller,mr.x,Rattan Bai  Jayant  Ranjit Dwarka Khosla Action Science Fiction Thriller
R. N. Vaidya,Protima Das Gupta, V. K. Das, Nazir Begum,Action,na honewali baat,Protima Das Gupta  V. K. Das  Nazir Begum R. N. Vaidya Action
K. Dhaibar,Durga Khote, Anant Marathe, Govind Kurvalikar,Devotional,nandakumar,Durga Khote  Anant Marathe  Govind Kurvalikar K. Dhaibar Devotional
Franz Osten,Devika Rani, Ashok Kumar, Maya Devi,Romance,nirmala,Devika Rani  Ashok Kumar  Maya Devi Franz Osten Romance
Rukesh,Sita, Ghulam Mohammed, Lakshmi,Action,perfect man a.k.a. nigah-e-kamil,Sita  Ghulam Mohammed  Lakshmi Rukesh Action
"Zia Sarhadi, Mahendra Thakore",Kumar, Bibbo, Yakub,Adventure Science Fiction Action War,postman,"Kumar  Bibbo  Yakub Zia Sarhadi, Mahendra Thakore Adventure Science Fiction Action War"
G. K. Mehta,Khursheed, Zebunissa, Shyam Sunder,Social,prem samadhi,Khursheed  Zebunissa  Shyam Sunder G. K. Mehta Social
Jayant Desai,Madhuri, E. Billimoria, Mazhar Khan,Mythology,prithvi putra,Madhuri  E. Billimoria  Mazhar Khan Jayant Desai Mythology
Manibhai Vyas,E. Billimoria, Sitara Devi, Mazhar Khan,Social,professor waman m. sc.,E. Billimoria  Sitara Devi  Mazhar Khan Manibhai Vyas Social
Ramnik Desai,Jal Merchant, Roshanara Begum, Putlibai,Action,punarjanma,Jal Merchant  Roshanara Begum  Putlibai Ramnik Desai Action
Dwarka Khosla,Lalita Pawar, Nazir, Jeevan,Costume,rajkumari,Lalita Pawar  Nazir  Jeevan Dwarka Khosla Costume
S. M. Yusuf,Harishchandra Rao, Violet Cooper, Shah Nawaz,Social,rangila mazdoor,Harishchandra Rao  Violet Cooper  Shah Nawaz S. M. Yusuf Social
Rama Chowdhary,P. Jairaj, Rose, Yusuf Effendi,Action,rifle girl,P. Jairaj  Rose  Yusuf Effendi Rama Chowdhary Action
Ezra Mir,Mazhar Khan, Indubala, Ila Devi,Social,rikshawala,Mazhar Khan  Indubala  Ila Devi Ezra Mir Social
M. Udwadia,Anil Kumar, Noor Jehan, Ashiq Hussain,Action,royal commander,Anil Kumar  Noor Jehan  Ashiq Hussain M. Udwadia Action
P. Y. Altekar,Durga Khote, Mubarak, Vimla Sardesai,Romance Music,sathi,Durga Khote  Mubarak  Vimla Sardesai P. Y. Altekar Romance Music
Chaturbhuj Doshi,Madhuri, Trilok Kapoor, Rajkumari,Horror Drama,the secretary,Madhuri  Trilok Kapoor  Rajkumari Chaturbhuj Doshi Horror Drama
G. R. Sethi,Navinchandra, Padma Devi, Noor Jehan,Action,sharif daku,Navinchandra  Padma Devi  Noor Jehan G. R. Sethi Action
Chandrarao Kadam,Hansa Wadkar, Chandrarao, Shyam Sunder,Social Drama,sneh lagna,Hansa Wadkar  Chandrarao  Shyam Sunder Chandrarao Kadam Social Drama
Vijay Bhatt,Sardar Akhtar, Jayant, M. Zahur,Action,state express,Sardar Akhtar  Jayant  M. Zahur Vijay Bhatt Action
Phani Majundar,K. L. Saigal, Kanan Devi, Jagdish Sethi,Drama,street singer,K. L. Saigal  Kanan Devi  Jagdish Sethi Phani Majundar Drama
