director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Rajesh Ram Singh,Darshan Kumar, Pia Bajpai & Chandan Roy Sanyal,unknown,Drama,mirza juuliet,Darshan Kumar  Pia Bajpai & Chandan Roy Sanyal unknown Rajesh Ram Singh Drama
Shubhashish Bhutiani,Adil Hussain, Lalit Behl & Navnindra Behl,unknown,Comedy Drama,mukti bhawan,Adil Hussain  Lalit Behl & Navnindra Behl unknown Shubhashish Bhutiani Comedy Drama
Srijit Mukherji,Vidya Balan, Ila Arun, Gauahar Khan,Action Drama History,begum jaan,Vidya Balan  Ila Arun  Gauahar Khan Srijit Mukherji Action Drama History
Aditya Kumar,Vije Bhatia, Rishi Verma, Mohit Baisla,Romance,romeo-n-bullet,Vije Bhatia  Rishi Verma  Mohit Baisla Aditya Kumar Romance
Sunhil Sippy,Sonakshi Sinha, Purab Kohli & Manish Chaudhary,unknown,Comedy/drama,noor,Sonakshi Sinha  Purab Kohli & Manish Chaudhary unknown Sunhil Sippy Comedy/drama
Gulbahar Singh,Hema Malini, Vinod Khanna, Sachin Khedekar,Biopic,ek thi rani aisi bhi,Hema Malini  Vinod Khanna  Sachin Khedekar Gulbahar Singh Biopic
Ashtar Sayed,Raveena Tandon,unknown,unknown,Thriller Drama,maatr,Raveena Tandon unknown unknown Ashtar Sayed Thriller Drama
Rishi Prakash Mishra,Yashpal Sharma, Ajay Kumar Singh, Rajesh Jais,Drama,ajab singh ki gajab kahani,Yashpal Sharma  Ajay Kumar Singh  Rajesh Jais Rishi Prakash Mishra Drama
Rahat Kazmi,Raghubir Yadav, Virendra Saxena & Sonal Sehgal,unknown,Anthology/drama,mantostaan,Raghubir Yadav  Virendra Saxena & Sonal Sehgal unknown Rahat Kazmi Anthology/drama
Akshay Roy,Ayushmann Khurrana & Parineeti Chopra,unknown,unknown,Drama Romance,meri pyaari bindu,Ayushmann Khurrana & Parineeti Chopra unknown unknown Akshay Roy Drama Romance
